id,APP_NAME,USER,DATE,STAR,LIKE,TITLE,COMMENT,OS
,카카오톡 KakaoTalk,불면증신데렐라,2022-01-27T09:05:04-07:00,4,0,운영정책 위반시 제재에 대한 사유를 명확하게 고지해주세요,"우리나라 국산 앱이기에 진짜 믿고 쓰고 있는데요, 오픈채팅으로 인한 임시제한이 걸렸을때에 제한 사유를 구체적으로 고지해주세요. 그래야 인간들도 그거에 맞춰서 바꿔 나갈수 있는거 잖아요. 그거 말고는 진짜 단점이 거의 없습니다:0",ios
,카카오톡 KakaoTalk,유튜브 막 나가네,2022-01-27T08:43:38-07:00,1,0,프로필 업데이트(?) 표시 없애주세요,제목 그대로,ios
,카카오톡 KakaoTalk,메모리정리좀요,2022-01-27T08:31:13-07:00,1,0,아이패드 지문인식 삭제,왜 삭제 한거죠? 이해가 안돼요  다시 복구해줘요,ios
,카카오톡 KakaoTalk,Whion0408!,2022-01-27T06:51:14-07:00,1,0,카톡이 안돼요 지금.,카톡 사진 보내기 하려고 하면 튕기고 이젠 앱 실행도 안돼요. 이러면 너무 곤란합니다.,ios
,카카오톡 KakaoTalk,카카오톡에 불만이 있는 사람,2022-01-27T05:33:21-07:00,1,0,아니 진짜 킹받아요 👎,아니 왜 그 표정에 싫어요와 화나요는 없나요? 왜이리 다 긍정적이기만 한가요? 항상 좋기만 해야하나요? 이걸 보신다면 싫어요와 화나요도 추가해두시고요 시간이 좀 남으면 역겨워요도 추가해주세요.,ios
,카카오톡 KakaoTalk,서진윤철,2022-01-27T05:18:31-07:00,5,0,오픈채팅 관리자 메세지 가리기,요즘 오류? 인지 ㅜㅜ 관리자 메세지가 안 가려져요 ㅠㅠㅠㅠㅠㅠㅠㅜ 불편하네요 오류인 것 같은데 ㅜㅠ,ios
,카카오톡 KakaoTalk,나는솔로다,2022-01-27T04:55:56-07:00,5,0,스토리,카카오톡도 스토리 기능 있었으면 좋겠단,ios
,카카오톡 KakaoTalk,내겐수학은쉬워,2022-01-27T04:33:36-07:00,3,0,인증번호가 너무 느려도 느려요,제목대로 카톡을 잠시 지워야 해서 지웠다 다시 깔아서 로그인 할려고 이메일 비밀번호 적고 전화번호를 적어 인증번호를 받을려 하는데 너무 안와요 온다 해도 2시간 뒤에 와요 이것 좀 해결 해주세요,ios
,카카오톡 KakaoTalk,개나리7,2022-01-27T02:22:57-07:00,1,0,아이폰 Iso 13 이상만 지원되나요?,아이폰 6인데 카톡 실행이 안됩니다.  아이폰 6 에서도 실행되게끔 해주세요.,ios
,카카오톡 KakaoTalk,글씨체추가해라오바,2022-01-26T23:03:27-07:00,5,0,테마 폰트,테마랑 카톡 디자인 원래모양 네모랑 폰트 ㅈㅂ요 몇달째 기다리는중인데 리뷰같은건 안보시나요ㅠㅠ ??,ios
,카카오톡 KakaoTalk,앱 사용자님,2022-01-26T20:08:02-07:00,5,1,"차단친구, 숨김친구 관리","차단친구, 숨김친구를 해제하고 싶을 때 한 번에 해제되는 기능이 있었으면 합니다.  아니면 선택적으로 해제할 수 있거나 하는 방법으로요",ios
,카카오톡 KakaoTalk,애오유ㅜ라옵ㄹㅍㄴ,2022-01-26T19:54:20-07:00,1,0,선물하기 렉 / 결제 렉,렉이 너무 심한데여,ios
,카카오톡 KakaoTalk,안구건조증은 항상 날 괴롭히지,2022-01-26T19:07:14-07:00,3,0,친구목록에 뜨는 광고 채널 없애주세요,오히려 더 거추장스럽고 하나도 도움안되요 지저분하고  누구 아이디어인지 모르겠지만 정말 불필요한거 같아요,ios
,카카오톡 KakaoTalk,귀여웡❤️,2022-01-26T19:05:15-07:00,1,0,지금 사진 안보내지는거,저만 안되나요?? 사진이 전송 안됩니다,ios
,카카오톡 KakaoTalk,크리스영,2022-01-26T17:59:57-07:00,4,0,카카오톡선물하기 대체 뭐하나요?,"차라리 타사처럼 판매자와 직접 응대할 수 있게 해주시던가요 택배파업으로 배송지는 한달뒤에 배송이 된다고 안내만 하시고, 주소는 배송준비중이니 바꿀수없다. 그럼 미리 안내를 해주셔야죠. 할 수 있는게 없으니 그냥 챗봇이랑 대화하는 느낌이에요.",ios
,카카오톡 KakaoTalk,하루어러ㅓ쳐뉴ㅓ앛,2022-01-26T17:33:47-07:00,1,0,ㅋ,아오 염병 보이스톡 좀 제대로 해놔 연결이 뭐매일 끊긴데,ios
,카카오톡 KakaoTalk,영월짱,2022-01-26T16:24:33-07:00,1,0,핸드폰 번호로 친구 추가가 안됨,핸펀 연락처에 없지만 카톡에다가 핸펀로 친구추가 하니 연락번호가 이미 등록 되어 있다면 추가 불가 검색해도 안됨 통합검색이면 번호 이름 단어등으로 검색되어야 하는데 전혀 안됨 웹 고객 센터에는 질문할곳을 어따숨겼는지 찾지를 못하겠어서 여기에 올림 돈만벌지 말고 안정적으로 서비스봄 해줘요 카톡말고 다른거 생기면 난 갈아 탄다,ios
,카카오톡 KakaoTalk,bam2bear,2022-01-26T13:49:24-07:00,3,0,카톡방 구분,예전처럼 카톡오면 방 이름도 같이 보이게 해주세요 답답해요 안 보이니까 진짜로,ios
,카카오톡 KakaoTalk,dustn0372,2022-01-26T08:38:25-07:00,5,0,프로필 업데이트 뜨는 기능 없애주세요,업데이트 한 사람들은 빨간점으로 표시 되는게 좋았어요 프로필 자주 바꾸는 편인데 그럴 때마다 사람들한테 뜨는게 너무 싫어요.. 신경쓰여서 제 프로필을 마음 편하게 자주 못바꾸겠어요 제발요,ios
,카카오톡 KakaoTalk,몽몽몽몬모모모몽,2022-01-26T07:33:09-07:00,5,0,🎁선물하기 시간 예약 기능⏱,선물하기 잘 이용 중입니다☺️ 그냥 문득 생각이 나서 요청드리는 건데용 친구 생일에 제일 많이 이용하는데 선물하기에서 미리 선결제하고 00:00 정각에 예약한 선물이랑 예약한 메세지가 뿅하고 전달되면 좋겠어요  그냥 그렇다구요🥺,ios
,카카오톡 KakaoTalk,용량 줄여주세요ㅠㅠㅠ,2022-01-26T06:59:55-07:00,3,0,안되나요ㅠㅠ,저 진짜 잘 쓰고 있었는데 폰 오류로 카톡이 지워져서 깔았는데 내용이 다 사라졌어요ㅠㅠㅠ 이거 다시 복구 안되나요ㅠㅠ 중요한 내용들이 많은데.. 제발 부탁 드릴게요ㅠㅠ,ios
,카카오톡 KakaoTalk,사랑한다고이녀나,2022-01-26T06:11:09-07:00,3,0,인증번호 좀 주세요 ㅠㅠ,카톡을 다시 깔아야해서 다시깔았는데 인증번호를 계속 안줘서 인증을 계속 실패해요 ㅠㅠ 그래서 24시간 제한먹기도 하고 다시하면 2시간 뒤에 문자가 와서 지금카톡을 못하는 상황이에요 ㅠㅠ,ios
,카카오톡 KakaoTalk,일교시수학,2022-01-26T05:50:23-07:00,1,0,1.3mb밖에 안되는 영상 전송 오류,말그대로 용량이 큰 것도 아닌데 영상이 안보내지네요;; 재전송해도 전송 후에 뜨는 체크v 표시가 안뜨고 계속 x만 뜨네요.. 이유라도 알려주돈가ㅠ 삭제 후 재설치도 해봤는데 여전히 안됩니다ㅠㅠ 제발좀,ios
,카카오톡 KakaoTalk,stop.그만.,2022-01-26T05:03:58-07:00,3,0,Takes a very long time to install the app,"I'd been using this great app since 5th grade in primary school, and recently I deleted the app temporarily to make it as a turning point. Now, I've got emergency situation to contact through this app and I pressed install button but it has not been installed though it has been an hour from when I pressed the button. Please, make sure that the application's system doesn't have any problem.",ios
,카카오톡 KakaoTalk,수뉴수유빈비,2022-01-26T04:43:50-07:00,3,0,카톡 선물하기,이상한 카드 크게 뜨는거 없애고 전처럼 다시 바꾸면 안돼요? ㅠ 진짜 너무 촌스러워요 카드들도 하나같이 못생겨서 고를 때마다 현타 와요..,ios
